mnemonic
v4fmaddps
v4fmaddss
v4fnmaddps
v4fnmaddss
vp4dpwssd
vp4dpwssds
vcvtne2ps2bf16
vcvtneps2bf16
vdpbf16ps
vfmadd132pd
vfmadd132ps
vfmadd132sd
vfmadd132ss
vfmadd213pd
vfmadd213ps
vfmadd213sd
vfmadd213ss
vfmadd231pd
vfmadd231ps
vfmadd231sd
vfmadd231ss
vpdpbusd
vpdpbusds
vpdpwssd
vpdpwssds
tdpbf16ps
tdpbssd
tdpbsud
tdpbusd
tdpbuud
vmulps
vpand
addps
addss
andnps
andps
blendps
blendvps
cmpps
cmpss
comiss
cvtdq2ps
cvtdq2pd
cvtpd2dq
cvtpd2ps
cvtps2dq
cvtps2pd
cvtsd2si
cvtsi2sd
cvtss2si
cvttps2dq
divps
divss
dppd
dpps
extractps
haddpd
haddps
hsubpd
hsubps
insertps
maxpd
maxps
maxss
minpd
minps
minss
movaps
movd
movhpd
movhps
movlhps
movlpd
movlps
movmskpd
movmskps
movntdq
movnti
movntpd
movntps
movq
mpsadbw
mulps
mulss
orps
pabsb
pabsd
pabsw
packssdw
packsswb
packusdw
packuswb
paddb
paddd
paddq
paddsb
paddsw
paddusb
paddusw
paddw
pand
pandn
pavgb
pavgw
pcmpeqb
pcmpeqd
pcmpeqq
pcmpeqw
pcmpestri
pcmpestrm
pcmpgtb
pcmpgtd
pcmpgtq
pcmpgtw
pcmpistri
pcmpistrm
pdistib
phaddd
phaddsw
phaddw
phminposuw
phsubd
phsubsw
phsubw
pinsrb
pinsrd
pinsrq
pinsrw
pmaddubsw
pmaddwd
pmaxsb
pmaxsd
pmaxsw
pmaxub
pmaxud
pmaxuw
pminsb
pminsd
pminsw
pminub
pminud
pminuw
pmovmskb
pmulhrsw
pmulhuw
pmulhw
pmullw
pmuludq
popcnt
por
pshufb
pshufd
pshufhw
pshuflw
pshufw
psignb
psignd
psignw
pslld
pslldq
psllq
psllw
psrad
psraw
psrld
psrldq
psrlq
psrlw
psubb
psubd
psubq
psubsb
psubsw
psubusb
psubusw
psubw
punpckhbw
punpckhdq
punpckhqdq
punpckhwd
punpcklbw
punpckldq
punpcklqdq
punpcklwd
pxor
rcpps
rcpss
rsqrtps
rsqrtss
shufpd
shufps
sqrtpd
sqrtps
subpd
subps
subsd
subss
ucomisd
ucomiss
unpckhpd
unpckhps
unpcklpd
unpcklps
xorpd
xorps

